city,summary,date_time,Latitude,Longitude,,
Carrizozo,"I was driving and saw three glowing orbs is the best I can describe it. I was driving trying to keep an eye on it and as I watched it,",6/11/19 22:00,33.641799,-105.875816,,
Albuquerque,Green Fireball Sighted Near Albuquerque Moving Directly Up From the Ground,7/15/98 01:30,35.199592,-106.644831,,
Clovis,"saw bright, small object in the sky. may be hot air balloon",5/15/05 05:33,34.497241,-103.294978,,
Las Cruces,Possible Craft Photographed,8/4/17 07:48,32.290052,-106.753893,,
Pecos,Object with broad center area following airplane.,4/8/06 12:30,35.571588,-105.687047,,
Rio Rancho,"For 30 min, early morning, two people saw an oval light about 30 ft wide, circling, and shinning down through a sparse cloud cover.",7/21/19 16:30,35.268498,-106.783682,,
Albuquerque,"night, little cloud, pulsating blue with dark blue arc on border,every 15 sec then some red plumes gently shot out of one side.",7/22/19 21:15,35.199592,-106.644831,,
Kirtland,"Object sighted in NW NM was witnessed by 3 people, bright white and moved acrossed the sky and faded out.",4/15/06 21:09,36.742972,-108.318698,,
Albuquerque,Strange light in a triangular formation,4/21/06 21:40,35.199592,-106.644831,,
Chupadero,"2 bright lights chase each other within an illuminated cloud for 20 minutes north of santa fe, new mexico",4/22/06 23:00,35.744123,-105.85681,,
Rio Rancho,"I was letting my dogs out at 12 midnight and I stood outside shocked. I saw this object with bright light moving very, very fast. I kno",7/29/19 00:00,35.268498,-106.783682,,
Albuquerque,Disappearing and flashing lights maneuvering and changing speed periodically.,7/30/19 22:30,35.199592,-106.644831,,
Albuquerque,Flashes in clear night sky.,7/30/19 22:30,35.199592,-106.644831,,
Carlsbad,Strange light moving by moon.  ((NUFORC Note:  International Space Station seen over Carlsbad at 20:22 hrs. on this date.  PD)),5/11/06 20:30,32.416897,-104.46539,,
Carlsbad,"Strange light moving by moon.  ((NUFORC Note:  Space Station flew over Carlsbad, NM, at 2022-2026 hrs. on this date.  PD))",5/11/06 20:30,32.416897,-104.46539,,
Alamogordo,"4 bright orange lights flashing in sequence, then disappears. Minutes later a single orange light appears as its stationary, then vanis",8/12/19 21:30,32.870046,-105.948967,,
Las Cruces,3 lights reddish yellow all in a line over the northern side of organ mountains my second account of these lights,8/12/19 21:30,32.290052,-106.753893,,
Las Cruces,I saw a small light become brighter and as it did another and another and another. A total of 5 lights above the Organ mountains in a s,8/12/19 21:37,32.290052,-106.753893,,
Bernalillo,5 large round bright orange objects appeared one by one in sky close to fireworks hovered silently for a minute and a half.,7/4/19 22:00,35.30004,-106.55114,,
Las Cruces,"Yellow orange, large, oval lights faded in and out over about three minutes.",8/12/19 22:30,32.290052,-106.753893,,
Las Cruces,"Yellow orange, large, oval light faded in and out over about 15 seconds.",8/13/19 22:31,32.290052,-106.753893,,
,"Driving southbound on I25, west off the highway towards Ocate 7 crafts where flying in formation accelerating and decelerating rapidly",8/18/19 10:10,0,0,,
Santa Fe,"Orange orb traveling at low altitude from north to south, seen by three people",7/18/19 20:00,35.697473,-105.982146,,
Roswell,Horseshoe shape moving eastward at a constant rapid speed with no sound underneath the clouds.  ((anonymous report)),6/14/18 16:00,33.637061,-104.377926,,
Albuquerque,Seven red orbs followed by two F15s.,11/15/00 21:00,35.199592,-106.644831,,
